,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
74517,673,312,410,-94,105,274,-564,388,183,167,179,595,442,128,-101,532,503,357,231,15,146,371,355,277,75,404,346,114,413,158,307,114
74518,654,287,386,-161,87,345,-514,313,159,163,235,626,439,126,-83,541,536,381,264,15,160,281,419,288,74,400,354,15,402,162,309,254
74519,499,357,350,-148,89,202,-343,375,163,172,195,570,479,143,-94,437,587,406,284,35,125,367,455,323,120,409,353,41,446,188,321,313
74520,459,391,317,-131,100,288,-219,416,184,184,191,243,463,161,-102,409,625,381,274,46,125,332,392,312,129,413,346,135,444,187,307,312
74521,510,294,165,-99,76,257,-265,349,160,148,182,89,415,133,-109,392,572,299,242,4,135,313,226,253,91,405,356,104,401,163,299,207
74522,606,241,48,-109,65,324,-424,341,151,146,177,221,410,120,-127,362,496,329,237,5,154,317,269,263,78,425,422,57,380,163,324,227
74523,404,105,138,-127,57,369,-484,349,166,140,135,303,449,101,-135,517,402,388,239,-16,122,339,299,247,50,394,396,111,374,141,320,201
74524,299,136,233,-103,85,298,-419,228,163,170,175,414,424,108,-121,545,419,348,217,-8,104,399,218,217,35,373,332,55,343,117,278,73
74525,363,197,276,-116,58,339,-373,230,152,180,252,492,389,114,-83,422,527,262,195,2,136,320,259,189,42,380,362,26,303,70,250,5
74526,315,185,295,-156,50,322,-401,316,136,215,321,368,367,109,-42,464,490,190,209,15,177,362,177,175,40,390,392,114,293,70,240,135
74527,260,201,258,-166,67,287,-310,420,163,203,249,282,415,128,-68,522,465,221,207,15,179,262,139,176,28,357,347,96,299,66,216,264
74528,199,202,91,-222,82,225,-301,349,145,177,203,254,361,113,-102,469,511,226,178,-19,99,264,145,141,-23,279,249,84,303,42,183,242
74529,394,233,80,-220,73,219,-261,420,159,159,204,-69,376,108,-149,427,522,220,184,-67,41,318,122,135,-22,244,240,47,284,-1,159,92
74530,567,372,108,-279,83,237,-198,332,174,161,123,-18,404,124,-150,455,488,222,203,-91,78,369,105,167,-21,260,269,-38,275,14,151,91
74531,548,320,33,-120,86,255,-349,253,179,156,147,52,402,113,-150,450,439,208,191,-85,38,286,136,156,-56,237,227,-70,254,-13,125,193
74532,562,298,170,-204,67,247,-473,197,157,168,206,-28,369,97,-168,414,431,181,164,-104,5,255,189,142,-65,214,181,-106,230,-56,108,254
74533,491,287,280,-207,79,251,-372,163,128,188,173,84,356,102,-164,523,405,164,139,-106,16,322,182,128,-70,238,221,-40,240,-40,113,269
74534,302,191,278,-214,81,309,-183,55,105,187,125,264,322,93,-145,540,377,145,135,-96,28,299,175,128,-54,249,234,35,246,-17,125,204
74535,348,152,209,-240,52,389,-173,68,96,166,100,388,288,77,-142,460,377,150,132,-105,16,250,187,118,-53,239,261,-5,280,-17,100,116
74536,530,138,196,-224,60,356,-243,177,119,169,151,404,300,64,-162,376,433,173,139,-123,11,194,251,119,-43,237,261,-70,258,-27,85,15
74537,458,218,210,-219,71,353,-311,203,143,202,203,402,325,78,-155,324,530,184,152,-117,-16,219,326,131,-56,220,188,-6,240,-41,76,-12
74538,463,213,197,-235,65,473,-337,205,124,205,201,365,299,102,-167,314,551,156,162,-124,-40,272,279,123,-54,238,168,65,266,-21,110,143
74539,490,299,261,-182,66,238,-352,197,128,164,124,384,287,77,-207,279,494,150,125,-148,-76,242,200,108,-74,213,158,-10,218,-56,76,205
74540,465,300,303,-116,95,198,-307,267,153,158,101,346,340,66,-192,266,368,179,137,-137,-59,244,205,109,-65,200,151,-17,225,-53,92,235
74541,464,260,210,-149,106,310,-303,51,146,182,90,411,352,79,-181,335,471,216,150,-139,-41,258,225,130,-68,212,139,23,242,-45,89,175
74542,296,208,74,-15,85,262,-343,197,156,162,69,500,384,61,-222,361,527,234,151,-140,-58,231,255,159,-90,195,129,-80,265,-47,49,58
74543,152,208,45,54,85,321,-341,394,182,181,61,564,399,83,-194,378,617,246,200,-107,-18,220,391,213,-30,239,201,25,342,9,114,150
74544,154,235,184,-88,65,211,-365,343,152,138,60,339,392,90,-195,414,665,215,186,-98,-18,117,393,199,-30,234,190,85,316,0,116,163
74545,384,291,241,-181,70,188,-462,352,160,131,43,195,432,95,-196,377,607,263,189,-95,8,153,326,199,-12,245,203,125,341,15,121,152
74546,560,235,221,-176,58,307,-530,382,181,146,39,314,484,105,-203,281,664,378,219,-97,-17,234,356,242,19,258,240,225,371,28,135,57
74547,662,156,164,-135,61,297,-538,449,210,152,59,456,505,127,-193,269,628,409,247,-77,-10,188,344,261,15,275,245,249,363,25,141,-44
74548,617,-33,83,-109,58,217,-608,406,197,133,25,573,493,148,-201,474,595,431,270,-62,3,271,342,273,32,292,265,265,375,22,134,-43
74549,555,-124,110,-113,50,336,-637,292,188,152,7,415,489,117,-203,477,700,412,262,-65,-14,368,316,269,33,303,260,206,358,18,143,-46
74550,306,55,129,-74,38,347,-662,399,199,159,93,82,495,136,-162,103,752,376,263,-59,-5,240,281,255,44,317,265,136,342,9,151,79
74551,187,-16,130,-47,58,287,-707,331,210,151,90,183,532,145,-163,101,663,416,299,-44,25,252,293,287,63,326,245,215,384,28,139,191
74552,327,-167,279,-46,86,276,-762,255,218,159,110,369,508,136,-141,238,604,443,297,-15,54,115,339,317,70,348,278,222,414,73,182,279
74553,445,72,401,-84,92,204,-573,416,232,160,124,537,562,163,-123,272,643,522,332,6,74,183,424,361,117,376,301,243,443,104,218,328
74554,571,258,467,-215,72,208,-342,454,238,145,128,680,591,175,-123,300,715,571,357,7,86,323,534,417,149,387,342,197,476,124,272,377
74555,584,273,500,-233,50,147,-318,476,210,122,54,698,600,172,-179,315,757,570,350,-12,70,280,576,428,133,385,289,236,475,133,280,393
74556,582,289,500,-235,40,166,-310,475,211,129,13,721,573,164,-186,392,748,537,346,-15,86,306,481,400,127,360,289,293,488,147,269,364
74557,543,301,444,-201,52,120,-330,494,218,133,5,771,571,151,-168,411,797,530,359,-14,64,320,468,416,132,387,304,298,460,154,250,324
74558,509,307,424,-110,66,106,-323,498,218,125,0,758,580,156,-193,373,822,553,356,-25,34,299,505,405,124,376,278,315,482,147,247,288
74559,498,300,433,-103,58,91,-366,463,225,124,-2,736,562,143,-187,347,800,549,355,-43,35,290,521,410,103,359,261,219,473,124,222,218
74560,478,251,411,-109,69,183,-413,441,205,124,89,649,541,133,-184,271,761,505,335,-50,12,286,490,377,98,327,255,110,407,88,188,165
74561,530,218,383,-84,108,164,-400,469,236,158,212,591,546,152,-146,251,751,471,328,-28,34,277,452,359,76,349,278,92,378,73,185,188
74562,460,171,278,-90,81,121,-500,426,207,129,201,513,480,123,-138,312,632,410,264,-33,58,257,365,285,49,320,263,17,326,25,134,137
74563,311,158,140,-4,40,184,-517,431,205,100,91,479,484,112,-170,367,558,361,244,-59,57,293,352,248,20,287,254,27,304,1,103,137
74564,269,132,143,51,70,278,-498,490,221,130,117,564,466,126,-162,352,481,397,257,-55,27,221,415,265,16,279,240,-12,311,9,121,139
74565,355,-39,168,39,88,516,-470,483,221,157,137,579,478,131,-172,412,514,436,256,-65,-5,212,481,280,19,296,216,-59,308,-2,140,47
74566,409,43,208,13,98,452,-461,471,214,159,209,572,523,136,-120,458,653,473,276,-21,73,274,551,320,44,348,309,-4,396,65,179,25
74567,432,255,305,4,101,327,-342,499,218,170,218,611,520,150,-95,451,717,445,296,-8,126,315,480,336,72,369,396,66,428,106,221,22
74568,455,339,309,49,93,283,-238,288,214,176,251,736,486,156,-78,510,774,454,300,8,172,392,446,360,103,409,473,163,463,149,273,52
74569,528,385,394,-59,100,224,-184,298,231,171,276,620,510,152,-71,615,747,468,306,36,205,468,432,374,109,410,485,214,483,179,298,228
74570,413,351,348,-67,96,261,-189,511,221,174,238,416,523,145,-100,568,646,488,291,8,163,492,359,345,103,393,394,244,490,149,288,291
74571,290,317,286,-120,108,324,-193,496,201,174,221,433,490,134,-97,503,647,452,274,7,140,426,331,337,88,391,368,281,473,146,285,323
74572,409,294,350,-1,125,339,-246,542,222,174,216,294,484,158,-89,536,695,378,295,12,140,408,331,335,101,418,383,261,476,170,302,363
74573,570,278,419,-12,131,312,-290,608,246,180,234,217,513,156,-81,584,722,425,325,29,165,458,410,372,128,448,405,227,524,204,331,391
74574,647,171,506,-85,118,355,-310,521,217,176,226,319,550,140,-95,697,676,489,319,33,171,422,470,408,126,444,427,225,540,224,344,412
74575,683,199,517,-121,108,382,-343,513,200,168,205,508,543,129,-113,588,677,513,326,-3,121,428,528,411,117,407,368,224,555,217,319,385
74576,728,380,542,-118,107,388,-356,458,195,163,177,660,518,128,-137,576,679,527,323,-21,112,455,539,424,100,387,363,274,580,226,324,408
74577,700,340,436,-108,134,466,-421,358,219,192,269,743,523,148,-84,642,778,545,348,30,153,464,536,470,143,429,424,365,593,257,369,415
74578,490,295,237,-6,112,394,-463,491,214,174,265,511,525,128,-90,621,831,477,325,4,130,374,487,433,122,418,411,365,564,224,334,310
74579,498,281,197,72,116,514,-374,451,210,165,239,461,505,126,-105,537,804,436,308,8,130,378,453,406,108,416,431,385,536,225,324,280
74580,480,256,319,99,150,378,-299,432,223,173,149,454,515,158,-100,449,796,466,312,21,146,453,492,417,123,432,482,418,571,241,333,341
74581,507,300,487,76,145,398,-194,489,213,186,222,468,533,155,-105,422,775,499,323,21,142,501,526,444,131,437,471,383,574,255,361,170
74582,489,425,415,68,112,210,-125,474,206,142,212,445,514,133,-139,442,775,462,317,14,144,511,445,405,104,427,518,362,533,231,347,37
74583,397,382,362,-82,141,242,-82,463,215,156,214,555,532,148,-127,525,868,444,327,18,173,511,423,407,121,454,549,426,569,236,357,164
74584,416,347,346,-81,127,274,-103,379,192,153,258,555,519,138,-120,483,762,497,317,6,126,459,462,407,114,418,445,386,571,221,309,406
74585,646,404,391,-99,129,243,-184,407,197,144,225,486,513,144,-144,375,671,492,312,-10,86,462,471,405,106,391,378,287,564,244,299,590
74586,804,474,485,-190,132,240,-275,466,196,151,232,552,508,150,-122,439,796,462,339,16,135,454,495,418,135,430,397,342,610,283,375,588
74587,807,507,486,-92,139,215,-199,482,212,148,225,676,517,160,-92,491,829,462,348,33,170,472,558,452,148,458,426,401,623,287,387,564
74588,726,421,402,-49,138,258,-143,441,213,145,203,731,500,151,-103,508,889,442,327,32,186,472,565,451,149,449,445,331,587,272,370,514
74589,644,426,401,-115,111,275,-164,219,189,142,199,712,451,122,-105,512,894,409,291,32,179,503,558,421,138,445,455,349,575,285,355,401
74590,639,401,409,7,131,384,-226,351,211,157,222,467,454,111,-85,511,778,390,287,38,181,494,515,419,131,460,471,440,620,290,377,361
74591,605,346,378,22,136,283,-287,505,215,159,250,213,464,87,-70,506,693,392,260,17,194,458,507,384,113,451,466,445,607,270,379,390
74592,594,292,456,-88,130,319,-342,467,190,162,262,186,461,80,-54,533,650,411,260,25,196,443,513,391,115,434,441,329,563,260,379,410
74593,657,342,518,-12,133,368,-315,490,194,148,127,404,495,79,-73,568,737,472,277,13,187,469,634,427,132,440,431,225,554,271,382,492
74594,645,296,548,-67,127,445,-429,457,194,160,182,555,492,83,-94,547,787,511,270,35,189,458,708,437,115,446,427,280,564,260,369,469
74595,611,211,515,-140,97,497,-599,467,175,170,164,537,454,93,-92,665,714,471,263,21,230,466,622,419,125,463,473,323,597,258,386,430
74596,531,144,432,-193,90,321,-486,443,184,179,146,461,474,118,-87,343,706,462,276,28,208,416,584,420,156,490,478,365,600,271,375,404
74597,506,111,398,-202,102,271,-393,366,174,175,169,285,473,134,-71,212,694,460,294,52,179,432,521,424,149,476,431,397,614,287,385,400
74598,448,122,301,-220,69,233,-361,353,150,149,157,342,475,114,-85,385,697,433,298,16,131,430,462,406,131,433,388,414,603,273,365,334
74599,478,201,353,-176,67,221,-286,449,172,159,144,477,502,125,-92,485,745,436,305,12,149,439,424,406,120,427,424,406,585,253,338,223
74600,407,292,298,-68,82,221,-274,512,219,158,132,545,523,134,-74,479,759,444,298,11,126,506,434,401,108,415,411,375,539,244,342,233
74601,436,359,327,-24,111,259,-146,479,214,159,211,643,503,105,-75,507,734,439,257,-19,121,446,435,351,58,376,408,307,499,200,298,265
74602,544,431,508,14,105,282,-24,491,189,128,227,674,484,33,-136,535,698,417,196,-92,91,338,379,290,-22,299,372,189,415,106,203,216
74603,662,489,602,-62,126,339,24,445,186,141,248,718,472,23,-131,525,688,427,178,-112,100,475,393,266,-30,307,376,138,401,88,199,217
