,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
14474,-746,-1120,-1848,86,-49,361,-4913,545,-79,132,392,118,502,62,397,302,-97,358,183,39,0,-321,174,206,331,293,345,25,296,70,161,72
14475,-730,-1120,-1856,85,-64,353,-4938,533,-52,124,389,242,522,60,432,260,-87,394,198,57,6,-331,221,241,353,296,336,80,361,127,228,128
14476,-683,-1097,-1849,129,-53,375,-4946,558,-20,153,360,300,566,83,430,225,63,467,222,73,53,-246,294,300,389,326,413,105,378,140,208,45
14477,-678,-1091,-1849,149,-52,364,-4863,577,-29,127,399,241,562,70,328,352,114,520,230,57,10,-211,338,322,373,315,388,125,369,139,217,87
14478,-684,-1125,-1857,120,-76,341,-4938,572,-35,100,386,127,543,40,335,301,52,546,206,51,19,-226,371,319,362,316,398,164,393,151,283,302
14479,-727,-1144,-1884,91,-83,335,-4956,585,-56,112,355,93,549,43,346,241,53,579,202,43,26,-249,431,354,370,330,441,222,485,251,354,393
14480,-776,-1146,-1917,116,-65,317,-4979,604,-60,95,321,254,553,37,306,213,136,610,185,7,-27,-299,440,348,340,281,355,276,496,184,235,177
14481,-678,-1089,-1753,196,-43,341,-4908,719,-15,81,321,432,570,39,312,231,169,548,172,-12,-58,-307,460,333,321,246,317,326,496,135,147,-84
14482,-593,-1091,-1715,204,-36,341,-4899,664,-22,89,321,391,543,7,279,202,187,433,167,-39,-40,-306,443,326,306,230,353,290,467,128,179,63
14483,-556,-1106,-1714,214,-34,315,-4917,675,-14,82,317,399,558,11,265,116,148,528,170,-43,-66,-318,427,326,300,230,354,212,413,112,178,103
14484,-559,-1112,-1724,216,-36,317,-4913,689,1,85,315,402,552,14,264,35,249,533,166,-46,-46,-314,450,316,288,244,384,181,377,110,189,86
14485,-582,-1105,-1724,209,-32,320,-4874,684,-13,59,314,376,526,0,250,172,288,501,147,-93,-82,-238,453,293,250,169,309,249,377,62,84,-191
14486,-552,-1054,-1692,213,-16,335,-4861,658,-9,47,291,306,494,6,240,255,255,452,115,-127,-138,-202,399,246,196,106,269,120,305,27,44,-221
14487,-565,-1039,-1662,243,-2,334,-4830,714,11,72,295,327,495,0,228,168,179,472,99,-132,-161,-296,411,223,168,83,257,-77,196,-108,-52,-184
14488,-558,-1057,-1669,237,-11,325,-4853,754,21,55,306,431,518,-18,210,188,226,502,80,-138,-152,-266,453,213,175,83,280,1,208,-60,9,-76
14489,-528,-1053,-1649,235,13,326,-4860,726,3,70,303,505,490,-12,204,162,215,437,63,-154,-195,-343,337,169,159,48,245,58,199,-79,-7,-135
14490,-546,-1053,-1635,220,11,351,-4853,717,-1,85,382,416,485,-19,230,238,291,413,78,-146,-119,-283,262,172,170,91,305,85,250,13,109,65
14491,-577,-1061,-1688,197,-9,322,-4874,696,-17,48,367,328,458,-32,221,218,255,412,42,-164,-154,-288,277,145,138,56,270,67,203,-38,72,90
14492,-529,-1019,-1692,176,0,340,-4841,640,-42,49,310,279,410,-36,188,113,174,378,36,-170,-207,-278,277,121,120,25,263,46,171,-87,25,104
14493,-521,-1020,-1607,195,18,335,-4865,605,-53,71,311,403,412,-31,177,66,224,339,9,-182,-215,-337,258,97,116,-11,240,59,177,-102,-6,25
14494,-526,-1031,-1653,180,29,354,-4882,635,-41,77,318,477,422,-30,203,-414,170,328,5,-185,-152,-451,239,67,102,-23,181,21,114,-172,-108,-243
14495,-546,-1039,-1707,145,8,358,-4875,592,-52,97,299,312,372,-17,218,-203,59,289,2,-181,-61,-349,146,29,91,1,231,-1,98,-159,-94,-216
14496,-532,-1027,-1686,161,15,337,-4879,593,-60,90,315,293,368,3,162,485,172,258,-4,-198,-243,-301,111,5,80,-50,168,29,115,-152,-83,-147
14497,-536,-1017,-1712,152,31,372,-4797,590,-39,83,345,273,384,-4,143,326,158,219,0,-209,-389,-337,99,-9,86,-79,107,29,100,-160,-69,-107
14498,-559,-1060,-1743,139,35,364,-4856,581,-33,79,324,238,375,-12,183,153,62,200,-9,-178,-263,-332,96,-15,85,-51,171,0,91,-170,-58,-108
14499,-562,-1046,-1747,119,20,389,-4882,562,-43,93,337,143,365,-1,189,117,6,199,0,-188,-242,-366,58,-16,94,-36,170,-18,92,-139,-37,-88
14500,-553,-1033,-1762,120,21,405,-4836,528,-40,91,297,191,381,27,173,63,138,213,18,-166,-292,-369,79,0,136,-16,156,62,154,-52,49,42
14501,-591,-1052,-1807,106,4,393,-4848,518,-57,79,281,135,389,23,159,65,80,182,35,-160,-245,-352,75,-20,158,5,193,69,174,-25,88,159
14502,-616,-1064,-1839,75,-20,407,-4842,501,-96,86,327,55,349,9,191,107,-1,111,17,-144,-195,-418,16,-61,137,8,208,-8,110,-89,8,74
14503,-619,-1043,-1799,101,-37,413,-4820,528,-84,90,325,83,343,8,181,13,-42,103,13,-155,-217,-453,0,-76,124,-13,136,-27,84,-151,-81,-138
14504,-606,-1035,-1782,87,-28,416,-4813,521,-67,115,339,129,358,27,185,1,-25,128,42,-151,-226,-420,19,-52,148,22,160,-16,123,-134,-51,-160
14505,-632,-1035,-1893,44,-44,448,-4769,366,-93,137,396,55,328,34,218,149,-91,75,36,-108,-159,-366,-68,-70,160,49,263,-94,86,-131,-31,-86
14506,-640,-1006,-1882,66,-31,455,-4776,429,-81,140,391,-43,338,33,228,36,-152,51,44,-93,-158,-321,-88,-76,162,38,280,-109,72,-130,-37,-101
14507,-655,-1028,-1870,70,-27,456,-4843,437,-67,129,361,-109,341,36,237,7,-162,51,37,-100,-185,-378,-99,-92,156,46,262,-78,81,-110,-1,0
14508,-652,-1022,-1886,61,-32,452,-4803,412,-86,149,401,-134,348,21,258,99,-167,46,32,-84,-167,-392,-89,-101,146,50,229,-89,62,-138,-21,23
14509,-638,-1026,-1879,24,-32,441,-4839,408,-99,154,378,-178,353,29,301,17,-172,46,21,-73,-113,-376,-86,-96,163,95,266,-81,72,-107,30,113
14510,-638,-1020,-1908,9,-43,459,-4829,373,-101,155,395,-232,326,15,335,30,-202,27,12,-48,-29,-364,-97,-101,175,129,301,-96,62,-124,16,-8
14511,-631,-1009,-1938,36,-42,493,-4694,419,-90,173,444,-100,349,34,337,220,-74,60,59,-12,-4,-249,-41,-70,220,176,294,-27,123,-79,20,-138
14512,-593,-997,-1865,43,-39,488,-4656,513,-104,184,501,-29,381,48,317,422,-53,115,92,-8,-94,-185,5,-36,243,168,276,60,158,-51,38,-79
14513,-576,-996,-1777,38,-42,473,-4690,521,-84,191,478,32,422,63,382,440,-7,160,114,26,-49,-185,44,7,276,221,312,87,200,-16,81,32
14514,-585,-1025,-1864,30,-74,456,-4724,479,-95,194,495,141,453,90,426,408,-18,213,137,84,72,-141,99,79,320,289,432,182,308,107,238,225
14515,-589,-1007,-1841,41,-71,438,-4697,513,-117,187,498,83,452,86,429,369,-64,207,144,87,70,-169,60,50,314,291,403,87,223,52,170,180
14516,-593,-1001,-1828,38,-83,441,-4712,521,-114,182,519,-27,478,84,445,358,-102,211,168,94,89,-178,85,62,302,305,415,50,199,7,159,206
14517,-599,-1033,-1813,52,-88,422,-4734,577,-92,187,458,-20,508,99,436,335,-53,290,188,75,79,-201,120,98,320,311,394,93,226,1,115,102
14518,-610,-1026,-1820,60,-91,435,-4708,577,-89,167,467,58,515,91,421,318,55,333,181,97,97,-198,155,126,333,324,437,86,265,61,202,213
14519,-617,-1032,-1820,50,-99,399,-4811,538,-98,148,474,124,485,67,414,317,40,294,184,101,98,-184,181,112,333,324,443,95,269,74,230,221
14520,-612,-1016,-1822,38,-101,405,-4785,558,-95,163,476,133,499,94,424,361,42,345,210,96,108,-154,234,147,334,337,470,-65,260,23,176,238
14521,-615,-1042,-1844,31,-109,416,-4764,560,-77,156,470,114,498,101,429,367,-61,343,193,103,154,-112,210,150,351,359,502,-62,242,28,228,361
