,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
127853,-43,67,493,59,-51,353,82,372,20,119,366,440,445,11,303,245,391,237,-99,108,84,334,411,248,184,275,260,163,392,148,-191,347
127854,-45,60,510,70,-36,381,92,360,32,145,392,395,448,24,321,254,481,249,-95,129,100,310,446,289,208,278,282,274,469,175,-146,360
127855,-49,45,507,66,-30,373,111,346,26,143,377,365,445,24,277,287,502,242,-108,109,76,264,457,287,188,253,252,281,430,129,-203,226
127856,-60,21,489,24,-62,337,113,305,0,91,312,339,401,-13,235,215,391,219,-150,36,14,218,427,223,107,175,198,202,332,57,-269,201
127857,-125,-41,469,0,-42,297,84,287,-16,72,249,340,386,-40,195,161,314,206,-169,17,-31,184,400,183,76,161,206,141,292,31,-295,299
127858,-133,-70,445,-2,-34,297,22,297,-29,74,218,353,390,-33,174,88,350,232,-176,-11,-89,99,402,172,70,132,176,111,254,-17,-380,165
127859,-130,-76,447,-3,-35,294,21,301,-34,68,196,327,378,-46,178,69,386,216,-172,-8,-102,153,401,189,56,129,185,134,269,-57,-418,43
127860,-122,-90,453,21,-24,307,31,314,-12,65,213,305,377,-19,177,58,407,211,-172,-1,-104,101,411,192,80,115,158,175,279,-28,-356,104
127861,-105,-83,442,40,-26,322,40,327,10,99,247,301,392,2,191,85,418,223,-165,6,-104,107,424,204,90,107,96,50,251,-39,-403,72
127862,-109,-97,471,35,-32,327,30,344,23,112,265,322,425,33,200,107,459,235,-116,42,-88,138,429,245,120,144,81,107,300,-11,-409,-2
127863,-99,-70,482,58,-38,351,13,346,34,117,277,304,428,51,208,93,445,221,-98,53,-76,215,385,255,149,173,110,234,388,57,-332,66
127864,-79,-10,474,93,-37,346,53,349,63,125,318,337,458,65,211,85,441,245,-79,75,-65,187,421,292,173,203,183,263,396,90,-288,108
127865,-68,9,511,104,-32,347,96,391,80,136,295,376,472,83,213,186,513,285,-73,91,-70,170,503,321,208,229,229,308,431,117,-252,110
127866,-103,-55,495,80,-43,350,66,368,61,98,240,367,457,51,199,192,489,270,-107,79,-61,182,535,307,207,223,226,297,423,134,-209,182
127867,-128,-42,468,78,-27,321,49,347,18,81,165,365,432,10,198,230,462,239,-125,75,-45,39,490,284,198,227,248,257,436,161,-186,274
127868,-173,-50,452,27,-46,304,33,273,-30,49,189,319,368,-25,172,210,426,197,-166,35,-63,62,424,248,149,213,234,202,384,134,-209,245
127869,-208,-47,413,14,-45,324,49,282,-28,47,228,332,386,-15,186,118,366,181,-151,35,-42,150,383,233,158,228,270,214,387,138,-203,242
127870,-181,-24,435,25,-44,341,32,339,-22,77,250,325,421,6,218,51,372,208,-121,72,-9,258,425,250,193,270,338,286,452,215,-110,327
127871,-145,-10,447,41,-45,344,-2,357,-10,90,256,347,437,22,209,135,398,231,-105,100,30,281,462,290,218,295,362,276,458,253,-77,351
127872,-112,6,464,93,-23,385,17,397,43,123,279,386,474,46,256,238,383,263,-70,139,101,310,475,308,231,343,440,237,457,241,-95,293
127873,-119,-17,415,77,-46,366,-1,347,38,122,268,371,460,49,248,289,430,273,-59,157,105,307,500,317,236,337,480,267,486,251,-118,307
127874,-139,-25,400,78,-43,378,-13,327,65,130,335,365,459,82,300,392,442,277,-34,173,171,205,468,339,254,368,514,246,496,261,-70,327
127875,-153,-46,412,72,-39,362,-32,310,67,137,290,346,455,66,267,311,438,269,-49,163,131,118,451,289,236,318,414,234,474,200,-146,248
127876,-168,-56,404,44,-42,296,-30,270,51,111,200,320,445,46,200,177,423,252,-63,144,71,227,447,297,198,293,384,282,471,208,-123,350
127877,-209,-94,342,10,-48,261,-80,221,11,63,168,278,413,14,165,106,363,208,-112,85,36,252,408,280,161,269,367,267,463,197,-117,390
127878,-233,-188,330,-4,-16,269,-165,213,-13,55,157,243,386,-9,157,69,326,189,-145,40,-4,171,387,238,109,215,331,227,399,103,-251,188
127879,-266,-224,325,-11,-24,260,-176,203,-36,30,177,240,372,-25,146,82,293,186,-161,24,-17,64,433,250,87,208,312,280,415,100,-225,214
127880,-228,-145,352,-1,-32,280,-105,241,-8,46,173,282,409,-5,138,110,270,252,-145,34,-27,39,455,267,113,219,245,277,452,170,-180,237
