,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
167906,1705,1156,880,402,470,615,434,580,102,5,342,-34,160,-44,59,-68,-471,-162,-20,-71,-362,-174,80,-10,77,-69,-194,-102,92,-240,-386,-441
167907,1684,1124,831,393,458,620,470,588,112,7,356,-15,171,-54,55,-419,-457,-172,-32,-85,-398,-308,5,-32,52,-63,-189,-258,12,-299,-435,-420
167908,1668,1154,760,353,462,627,463,586,98,-10,348,-53,155,-68,58,-354,-487,-181,-47,-90,-384,-521,-34,-50,57,-60,-116,-349,-14,-301,-416,-369
167909,1735,1207,794,382,466,584,364,657,112,-15,293,-163,184,-57,47,-255,-511,-139,-24,-83,-329,-252,-32,-32,82,-5,65,-245,18,-255,-412,-296
167910,1731,1248,791,369,462,589,420,567,106,7,321,-205,155,-49,76,-333,-495,-148,-13,-34,-250,-81,-7,-5,99,41,183,-189,42,-239,-359,-327
167911,1806,1334,822,369,485,656,529,469,107,26,385,-95,134,-39,126,-383,-522,-211,-11,-29,-228,-168,-35,-13,94,40,75,-234,39,-236,-342,-385
167912,1804,1394,788,386,487,663,555,532,106,20,411,-40,138,-48,110,-89,-562,-226,-6,-39,-257,-181,-51,-24,98,10,-59,-247,42,-228,-338,-338
167913,1808,1389,770,397,492,647,538,542,133,15,401,-14,147,-57,74,88,-574,-197,1,-38,-294,-131,-30,18,113,-4,-56,-143,95,-208,-312,-312
167914,1795,1393,755,403,485,647,528,537,120,3,366,-17,157,-74,42,-101,-564,-204,-12,-61,-338,-164,-34,-2,76,-19,-49,-84,116,-210,-345,-328
167915,1823,1427,766,390,469,609,520,514,99,-14,331,-78,137,-83,29,-55,-641,-241,-43,-89,-348,-260,-56,-34,53,-47,-31,-45,113,-220,-351,-354
167916,1791,1427,749,375,489,624,571,548,102,-11,382,-93,127,-96,48,129,-687,-256,-64,-96,-341,-233,-103,-66,30,-43,1,-222,-19,-311,-395,-398
167917,1680,1391,791,376,480,623,574,551,114,-4,359,-88,110,-96,48,228,-678,-275,-80,-100,-339,-213,-148,-110,2,-48,28,-409,-105,-341,-430,-357
