,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
132800,-129,198,474,13,-266,343,154,458,-2,38,239,191,366,-31,314,203,390,225,147,160,295,410,551,270,239,498,662,371,693,280,229,516
132801,-128,132,492,108,-249,328,189,773,28,47,402,181,447,-27,336,206,236,213,153,190,296,359,490,268,249,483,647,267,643,261,215,453
132802,-171,171,428,60,-237,289,175,581,11,54,488,300,424,3,372,300,398,218,151,193,312,374,519,272,238,486,681,231,615,231,245,506
132803,-119,246,409,-28,-249,212,4,336,-32,48,388,407,298,-4,360,375,513,212,124,190,331,443,574,286,243,509,736,332,657,272,280,616
132804,-142,194,393,7,-254,37,20,416,-28,40,172,354,347,-14,325,392,438,222,126,175,343,440,578,274,241,488,720,369,674,293,279,615
132805,-83,181,477,68,-249,176,23,423,-29,34,291,337,343,-35,363,410,427,195,107,156,342,420,486,233,211,455,691,188,577,212,224,583
132806,-96,193,474,11,-277,430,42,409,-49,30,431,419,299,-62,341,396,411,103,86,122,283,442,477,206,167,448,705,190,560,212,219,586
132807,-59,228,590,3,-232,519,116,342,-46,56,547,359,281,-50,347,418,405,96,83,141,288,435,478,228,160,476,706,150,616,256,258,563
132808,-22,265,641,68,-244,494,166,335,-19,36,372,224,342,-31,322,446,410,199,131,151,315,377,502,249,194,472,687,177,631,263,267,581
132809,-8,248,472,47,-260,325,234,283,-27,-7,99,238,323,-35,320,484,420,193,107,130,312,408,489,217,177,464,716,66,468,157,232,604
132810,-33,86,722,74,-261,259,0,435,-23,-21,91,353,338,-36,295,458,444,235,117,135,312,416,520,253,186,465,763,182,551,214,273,643
132811,-34,17,740,86,-275,292,111,477,-16,-29,73,366,345,-32,276,382,455,236,122,147,309,350,564,263,215,482,977,269,637,272,278,601
