,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
130398,488,855,500,288,228,539,413,549,433,216,544,229,497,373,253,283,37,230,141,18,270,261,521,317,316,198,431,264,315,401,208,229
130399,461,788,513,305,208,516,383,561,418,217,571,223,476,366,237,284,16,228,140,17,283,248,515,300,300,180,441,220,279,382,178,217
130400,473,752,537,303,226,625,410,475,430,272,636,230,493,385,283,319,30,247,153,43,305,245,507,314,315,184,430,160,234,314,117,37
130401,400,674,521,267,186,548,299,423,389,236,593,264,472,376,260,316,-22,220,136,50,301,194,493,320,321,194,443,163,238,320,111,-47
130402,389,579,520,305,221,635,259,477,404,266,618,209,482,407,288,323,22,232,172,66,321,272,516,344,350,213,458,174,267,332,134,60
130403,407,582,478,290,243,675,268,395,402,250,600,184,467,389,292,280,11,202,165,54,317,353,501,311,340,212,414,91,245,304,89,109
130404,445,629,476,297,237,645,243,375,411,244,607,269,454,389,287,244,35,213,154,56,318,323,473,301,321,199,431,82,227,305,111,70
130405,432,630,474,280,220,642,216,413,413,249,570,229,475,399,270,236,124,220,155,37,303,234,556,316,304,190,421,92,253,294,114,-65
130406,411,577,458,278,229,629,278,392,408,245,565,200,479,405,265,287,130,230,157,32,337,196,623,338,300,191,442,87,272,311,96,-68
130407,407,647,438,266,238,603,411,411,415,244,638,151,466,384,280,300,65,215,141,25,349,172,565,328,277,200,485,41,264,293,106,-125
130408,404,712,438,269,248,567,433,426,422,245,601,162,469,374,265,246,44,219,140,21,314,130,538,327,293,186,494,11,263,286,119,-159
130409,379,714,411,276,236,547,415,440,402,222,526,177,470,367,230,214,51,216,161,20,275,193,536,342,310,185,388,67,294,333,113,-11
130410,363,651,346,277,224,569,393,471,401,215,501,179,482,356,222,69,103,249,165,21,270,181,593,370,328,184,266,133,295,364,142,138
