,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
149828,-168,58,284,245,-15,344,105,281,65,62,371,86,313,-16,302,359,450,284,129,171,91,493,543,230,326,297,396,338,524,299,107,327
149829,-173,-57,296,198,-58,273,-101,243,42,48,342,75,287,-25,296,332,358,238,119,170,98,503,487,220,310,291,432,196,467,280,108,420
149830,-139,-1,303,203,-47,349,-77,278,31,55,411,63,294,-23,343,381,283,198,119,160,157,616,356,136,285,297,447,-268,288,163,33,451
149831,-44,92,363,246,-30,416,180,277,37,66,373,52,301,-38,350,390,319,230,101,161,172,635,387,131,259,289,443,-184,268,125,-10,396
149832,-16,190,385,225,-10,492,242,296,51,95,423,50,282,-40,361,365,332,252,77,146,142,564,409,144,224,248,354,-29,294,106,-50,242
149833,-42,243,361,256,9,528,191,324,70,108,497,94,288,-33,350,379,337,218,100,141,153,489,401,124,224,249,368,-2,316,128,-38,237
149834,-106,207,308,248,-17,421,181,311,48,71,412,158,291,-45,319,383,286,174,79,154,122,440,415,128,227,262,394,49,354,176,-24,279
149835,-110,227,302,221,-19,324,365,253,63,72,174,71,302,-11,318,439,248,207,113,192,136,488,422,186,262,287,388,73,402,220,16,291
149836,-166,219,213,152,-52,285,312,174,46,56,258,-77,306,-27,322,442,287,224,118,170,122,498,419,191,271,272,379,82,378,189,21,293
149837,-59,240,266,198,-32,299,345,237,60,77,324,-55,326,-32,347,546,282,201,113,155,166,520,383,161,273,285,416,17,328,175,32,367
149838,56,338,356,323,-2,350,392,289,91,81,330,61,363,-15,372,446,270,267,127,187,189,560,404,192,302,316,455,42,396,227,60,430
149839,63,367,339,391,13,357,420,296,80,71,368,87,361,0,376,327,301,283,144,201,181,555,464,225,305,316,472,149,456,279,87,437
149840,39,278,394,380,-15,347,329,271,79,62,360,42,342,11,366,370,308,270,160,215,181,543,498,257,327,335,455,255,488,305,121,378
149841,-3,159,335,330,-43,188,346,295,70,65,370,62,349,11,381,442,319,301,176,229,164,485,539,293,360,344,463,381,542,340,149,380
149842,24,240,161,270,-35,113,365,267,66,84,336,97,340,-5,369,455,341,317,176,228,172,520,554,294,383,381,507,373,649,441,230,529
149843,127,364,331,246,-7,287,318,316,79,64,322,76,351,-13,351,399,284,291,138,205,162,532,465,251,342,337,470,86,551,373,191,453
149844,199,391,349,232,10,436,350,383,82,84,356,56,365,-10,356,401,270,298,161,196,130,486,472,255,328,301,396,224,543,328,110,294
149845,188,369,335,296,4,485,351,444,97,83,392,108,343,-12,361,467,337,243,120,195,160,508,470,183,281,290,427,52,363,196,57,353
149846,206,413,299,330,-4,403,324,405,90,79,420,45,355,-7,359,409,242,273,127,183,174,515,481,209,294,323,459,130,346,225,104,424
149847,194,426,349,279,-18,395,351,333,72,89,481,63,351,-12,355,385,348,274,130,180,167,517,512,219,294,333,431,244,449,247,92,421
149848,191,381,429,255,5,518,330,310,66,115,482,103,323,-14,371,423,392,249,120,203,193,598,465,200,301,336,486,-79,302,219,87,499
149849,131,314,385,249,-20,497,258,297,62,93,414,65,316,-7,371,465,387,235,110,199,195,604,497,196,294,341,487,32,360,281,129,471
149850,141,244,462,285,-15,488,297,383,57,97,405,70,344,-13,388,453,379,263,125,202,182,561,525,221,299,344,455,146,450,282,138,402
149851,115,350,337,286,-12,469,363,293,68,97,415,113,332,2,405,501,469,254,148,220,194,575,527,235,324,339,425,158,427,261,74,404
149852,77,346,252,279,3,469,266,296,70,114,418,103,351,28,405,487,459,271,139,216,225,560,557,251,325,353,461,231,482,306,144,556
149853,55,308,304,294,20,477,212,302,68,123,406,15,345,22,401,442,200,274,133,219,200,419,516,222,304,344,432,234,497,296,140,432
149854,50,279,295,331,-5,478,215,336,71,107,357,15,374,20,390,428,299,325,160,231,207,435,587,291,322,357,417,385,603,367,168,364
149855,57,331,263,353,-4,501,317,403,75,116,421,129,375,4,397,483,324,275,155,213,221,570,515,246,298,344,443,137,465,290,135,445
149856,39,367,169,380,-14,454,349,509,89,109,499,113,390,11,397,490,285,297,151,198,182,518,497,229,302,315,388,66,403,224,60,340
149857,-16,277,188,334,-27,469,260,452,54,105,558,-5,373,-3,408,434,324,309,128,210,166,518,467,200,283,305,385,-1,345,181,56,362
149858,0,147,192,306,-22,496,223,424,64,121,459,86,356,19,416,447,317,298,153,216,205,464,532,248,321,324,414,168,451,262,102,366
149859,46,189,238,283,-18,389,401,529,51,102,228,126,343,18,384,496,336,272,174,230,182,477,586,275,333,352,417,272,521,334,95,408
