,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
209692,-47,-111,366,43,-38,552,26,377,16,5,322,462,993,184,72,526,-69,7,313,27,288,492,220,-61,272,189,318,-208,165,47,299,111
209693,51,-107,448,102,-53,616,107,430,75,55,351,494,1030,228,128,615,27,44,335,60,344,606,302,-25,303,256,395,-97,231,132,377,160
209694,147,-26,534,175,-41,664,134,489,119,94,433,587,1102,281,193,660,141,146,390,100,378,670,391,42,366,306,444,64,340,196,407,160
209695,194,69,565,203,-46,691,239,517,139,130,490,645,1118,299,231,641,108,174,437,153,428,713,428,87,401,320,483,90,398,207,427,256
209696,216,140,578,191,-50,687,301,518,154,146,429,647,1095,303,260,608,103,150,433,162,441,707,430,87,398,324,469,99,397,218,401,225
209697,151,133,537,186,-34,693,250,514,141,146,404,617,1072,293,302,609,125,123,406,167,450,705,428,72,405,342,548,115,456,303,528,473
209698,94,58,470,109,-38,644,167,414,59,68,335,522,949,227,233,482,-15,-2,287,69,363,572,309,-71,295,231,403,-12,358,210,435,265
209699,-10,21,379,28,-47,553,135,303,-26,-1,287,430,815,136,140,410,-118,-124,174,-35,260,433,208,-173,180,100,232,-72,239,33,212,6
209700,-46,-4,339,-31,-39,510,104,265,-93,-35,219,360,749,72,86,386,-176,-201,92,-111,179,306,160,-231,105,8,97,10,187,-127,-18,-243
209701,23,48,376,-7,-30,527,129,258,-84,-18,282,345,751,69,109,426,-190,-203,83,-78,212,391,132,-220,111,27,153,-26,162,-74,76,-185
209702,60,85,427,32,-31,586,178,263,-46,20,307,385,772,116,142,437,-181,-207,121,-63,245,389,116,-231,125,37,221,-126,100,-70,71,-129
209703,75,132,448,80,-37,660,212,289,-4,66,340,404,791,162,176,449,-149,-189,164,-70,242,375,151,-236,152,23,173,-151,89,-114,21,-187
209704,156,178,498,106,-34,710,267,311,14,102,398,405,841,183,205,505,-156,-167,203,-47,245,361,161,-211,159,34,169,-210,103,-104,32,-168
209705,211,234,517,137,-45,744,299,341,46,144,429,422,880,223,217,537,-162,-139,237,-24,265,384,152,-174,187,56,224,-180,141,-69,51,-241
209706,232,253,513,158,-29,762,314,357,86,168,442,429,918,245,236,571,-174,-103,261,-6,285,459,113,-147,241,83,227,-61,163,-36,87,-191
209707,201,202,494,147,-33,740,299,350,82,153,473,441,919,236,217,553,-139,-93,249,-24,260,468,115,-160,231,64,162,-107,120,-76,44,-148
209708,146,83,438,99,-44,686,255,309,32,123,419,445,907,199,172,502,-213,-123,244,-56,208,429,126,-170,193,37,127,-158,107,-62,139,-8
209709,28,27,345,-6,-56,568,189,200,-52,25,351,345,841,96,94,431,-328,-191,160,-136,115,352,28,-259,100,-62,39,-236,25,-133,45,-99
209710,-7,2,306,-65,-39,542,182,155,-108,-24,282,289,823,64,37,370,-305,-226,127,-218,30,340,-15,-314,31,-160,-59,-287,-63,-297,-241,-380
209711,-22,-6,300,-23,-31,563,181,189,-51,1,327,360,873,107,84,416,-222,-157,213,-192,57,371,74,-239,83,-146,-18,-167,8,-225,-166,-248
209712,7,-31,331,10,-37,603,85,255,4,25,356,436,921,139,104,459,-163,-53,282,-164,67,403,165,-167,120,-104,40,-86,111,-128,-24,-69
209713,78,51,398,76,-24,660,92,346,52,63,410,537,1000,195,143,475,-113,13,329,-141,101,446,251,-121,151,-53,109,-33,171,-75,45,-19
209714,156,156,467,133,-49,678,194,353,68,83,412,568,1021,234,165,493,-58,33,353,-142,104,375,297,-85,173,-29,140,-25,199,-58,70,1
209715,150,245,465,168,-26,689,242,405,131,120,447,526,1066,260,209,531,-5,88,392,-93,131,452,317,-27,197,12,215,8,242,8,176,132
209716,123,237,432,165,-40,700,261,395,134,142,481,478,1092,268,233,556,40,105,404,-78,174,579,321,-33,218,25,285,-11,231,21,187,99
209717,140,210,477,159,-39,740,311,380,128,127,474,498,1093,263,198,533,57,91,378,-97,115,516,363,-22,203,-16,205,43,247,-32,105,-89
209718,123,156,450,117,-16,676,261,332,89,81,387,477,1045,212,140,473,-51,69,346,-166,43,431,363,-52,154,-65,142,70,255,-44,131,36
209719,71,77,424,43,-36,568,171,259,1,-26,276,410,970,133,31,356,-128,8,242,-263,-84,370,275,-156,68,-148,43,43,216,-75,84,31
209720,39,13,385,-5,-21,509,76,210,-40,-73,167,375,909,65,-77,227,-162,-35,154,-347,-201,239,203,-224,-17,-241,-87,-44,157,-164,-1,-211
209721,-6,28,341,8,-37,479,48,173,-40,-71,146,363,883,70,-78,207,-173,-77,154,-341,-236,180,147,-265,-42,-275,-168,-139,85,-242,-76,-397
209722,-6,47,379,54,-45,524,84,224,6,-14,165,308,926,115,-24,229,-129,-71,205,-276,-197,221,139,-247,10,-205,-77,-199,62,-169,12,-233
209723,42,62,400,106,-33,587,78,295,59,27,198,357,1000,183,-9,238,-73,-2,270,-238,-141,240,215,-174,65,-134,-46,-174,132,-118,59,-196
209724,76,92,444,146,-56,623,118,346,95,79,207,444,1045,218,10,284,7,51,310,-187,-82,177,280,-91,124,-84,1,-61,224,-53,95,-132
209725,105,110,494,178,-60,657,121,432,122,100,263,454,1084,248,63,366,1,77,343,-116,-6,185,319,-60,165,-16,94,3,272,-17,149,-67
209726,157,106,536,216,-39,682,106,438,154,121,338,484,1103,286,88,414,4,124,399,-72,57,247,374,-26,242,78,195,109,346,66,238,-41
209727,108,107,540,202,-51,660,128,394,137,118,351,498,1099,270,79,411,30,104,402,-26,102,298,384,-21,257,110,246,125,353,104,268,-38
209728,79,65,519,156,-38,634,109,379,86,52,232,480,1059,213,26,410,-2,63,350,-69,101,263,310,-82,208,73,199,-45,264,45,240,-52
209729,27,-5,451,85,-22,596,90,350,22,-12,272,442,1000,147,-4,401,-64,17,276,-101,81,256,298,-125,160,35,119,-55,242,32,212,-66
209730,-34,-83,377,38,-51,505,-4,315,-30,-60,226,424,930,90,-30,365,-133,-30,237,-131,73,237,248,-169,143,28,141,-64,235,2,167,-77
