,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
98391,4,175,109,101,-121,462,-95,276,83,37,204,-190,223,-32,235,241,-92,-21,27,141,51,414,110,122,264,184,324,-132,355,82,-20,231
98392,-43,79,141,46,-143,383,-99,243,69,7,219,-129,195,-61,225,247,-74,-64,14,100,46,406,122,87,211,173,327,-129,334,58,-48,272
98393,-28,64,112,-11,-118,424,-68,235,65,22,178,-9,212,-75,252,265,-29,-36,18,112,68,380,120,99,215,194,325,-192,299,36,-51,242
98394,-46,166,110,-45,-135,322,-23,214,49,5,153,-95,181,-57,243,270,13,-34,20,117,58,354,135,90,210,153,232,-233,264,-27,-135,4
98395,-61,199,109,-53,-121,278,-38,247,66,10,212,-178,173,-40,244,244,-156,-45,13,131,62,307,94,91,217,151,221,-232,295,-14,-151,-89
98396,-147,160,69,-14,-109,339,-121,323,66,19,209,-156,185,-39,246,214,-137,-48,20,122,87,267,90,91,204,137,242,-242,280,-41,-149,6
98397,-132,252,56,39,-123,395,-120,284,70,-7,174,-144,169,-50,231,221,-126,-53,29,118,62,349,90,82,222,150,257,-236,257,-31,-123,63
98398,-125,289,-8,103,-116,398,-107,253,71,20,196,-153,162,-63,244,212,-142,-64,-1,128,99,336,113,81,207,197,373,-183,304,9,-74,178
98399,-66,221,-1,78,-118,453,-139,292,34,40,244,-76,173,-74,268,191,-65,-61,-1,111,103,292,114,75,215,202,349,-156,315,39,-29,280
98400,-20,150,-73,-3,-134,408,-190,320,60,11,248,-99,198,-63,226,169,-43,-42,7,120,39,374,137,96,251,216,287,-101,367,120,45,370
98401,42,197,4,38,-135,211,-62,394,81,0,399,-103,173,-57,232,318,-27,-61,16,133,61,384,177,125,264,200,298,-104,390,99,33,244
98402,49,258,155,12,-141,-112,-16,231,63,-15,143,-105,190,-54,225,415,14,-9,45,130,66,425,217,144,263,189,326,-78,395,84,-45,125
98403,16,308,149,34,-156,82,-54,199,66,-35,49,-130,217,-59,215,217,22,58,75,127,77,473,300,182,271,185,290,-5,441,102,-68,60
98404,-7,241,30,13,-174,374,-51,310,56,-13,150,-140,222,-38,228,114,34,61,72,145,95,419,321,200,289,208,323,37,481,162,23,223
98405,45,230,95,32,-151,416,-32,307,95,-3,61,-77,242,-23,255,230,86,30,74,172,104,454,216,209,311,246,353,44,491,188,66,276
98406,38,264,181,21,-126,381,-89,262,80,1,47,-69,240,-25,246,315,-73,54,79,173,104,454,227,217,311,249,370,24,520,191,55,295
98407,29,277,147,-50,-115,355,-166,161,73,0,119,-91,190,-39,241,310,-69,-16,48,160,105,479,193,179,300,212,387,-39,459,156,54,365
98408,-27,208,193,-80,-146,362,-294,284,70,-15,183,-116,202,-66,223,230,-114,-12,26,120,58,394,116,122,244,190,329,-173,361,84,12,252
98409,-20,189,173,27,-144,331,-135,298,89,-16,5,-70,241,-42,209,236,20,71,74,125,59,359,243,176,276,210,327,83,505,194,58,212
98410,-39,93,185,89,-150,389,-57,241,99,-28,-62,-103,225,-55,188,197,-2,-5,65,114,43,368,210,160,246,170,284,45,468,122,-49,141
98411,-38,-10,136,-2,-154,401,-88,114,90,-13,87,-48,195,-60,226,109,18,-38,46,127,33,318,147,125,226,147,278,-250,345,25,-99,167
