,Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
170655,186,555,63,18,-17,247,311,-77,-289,173,0,978,-42,40,-57,322,361,118,-55,108,-8,463,97,-16,-111,260,292,49,139,380,497,259
170656,223,504,131,1,-44,234,305,-16,-290,157,-113,869,-29,29,-92,528,352,99,-75,103,1,515,83,-18,-116,255,326,62,133,377,459,226
170657,321,492,213,-149,-37,254,314,-57,-317,181,-30,1002,-51,21,-66,435,321,97,-91,125,30,593,99,10,-101,274,347,0,130,361,475,164
170658,302,505,274,-211,-52,172,281,-6,-343,178,22,1033,-93,1,-72,193,302,42,-105,104,18,531,92,-49,-133,275,339,-46,79,320,453,160
170659,290,326,212,-274,-64,313,152,-43,-367,173,47,967,-107,7,-80,181,332,-14,-137,87,-15,436,92,-76,-140,239,301,14,71,292,435,155
170660,327,330,91,-287,-44,379,178,-22,-362,185,23,812,-87,1,-100,260,355,7,-133,75,-29,390,110,-62,-159,225,289,77,80,297,448,140
170661,263,451,16,-208,-23,311,302,-1,-343,166,54,824,-69,8,-95,121,359,49,-106,77,-40,422,146,-63,-159,200,250,-13,41,265,425,125
170662,87,308,-63,-252,-68,359,307,-36,-353,154,-17,782,-81,-3,-113,163,384,29,-116,40,-62,416,142,-50,-161,179,234,-124,-7,237,379,65
170663,-318,315,-157,-98,-61,390,276,-67,-330,176,19,665,-64,5,-108,185,467,-13,-110,80,-44,422,44,-63,-143,194,290,-139,-13,235,388,9
170664,-450,209,-164,-128,-47,219,252,-279,-342,173,19,598,-80,37,-96,113,464,-37,-107,79,-55,433,6,-56,-125,221,281,-130,-21,220,394,-47
170665,-506,43,-208,-51,-77,461,175,-130,-338,169,-15,615,-75,31,-105,124,214,-20,-117,47,-61,263,82,-66,-147,190,215,-300,-109,171,325,-186
170666,-193,225,-201,33,-50,350,256,-165,-302,161,21,694,-42,40,-107,152,148,47,-92,50,-40,143,167,-46,-132,196,240,-283,-123,164,307,-260
170667,125,397,-153,76,-74,254,277,-132,-287,159,-62,783,-17,35,-134,137,175,9,-107,31,-71,255,64,-84,-154,202,273,-112,-67,182,348,-237
170668,249,511,-63,-70,-87,171,304,-95,-301,156,-44,1000,-27,34,-133,235,238,22,-104,53,-48,271,73,-92,-154,206,310,-121,-56,195,372,-240
170669,136,440,68,-226,-100,177,358,-261,-348,153,1,1081,-97,36,-117,315,278,57,-106,74,-33,313,105,-82,-151,221,241,-135,-69,190,366,-180
170670,188,504,242,-369,-88,275,393,-255,-359,185,34,952,-63,66,-73,363,295,86,-66,107,-15,425,212,-42,-88,250,238,-126,-32,220,389,-6
170671,307,451,298,-346,-63,368,386,-183,-351,202,63,1050,-63,70,-46,394,309,122,-20,128,31,379,254,17,-45,303,331,-63,21,274,453,146
170672,77,286,191,-324,-105,304,303,-146,-372,175,17,1091,-72,42,-50,357,282,116,-33,145,38,411,189,17,-41,322,405,-15,39,302,507,75
